x_m,solid_temperature_C,water_bulk_temperature_C,heater_input_W_per_m,heat_to_water_W_per_m,heat_to_ambient_W_per_m
0.0,142.79806761245612,10.0,100000.0,103180.24179391851,57.983072453978934
8.333333333333334e-05,142.79820532356166,10.041134096678348,100000.0,103148.38879295147,57.983138555309594
0.0001666666666666667,142.79861574767614,10.082255537001487,100000.0,103116.75751569265,57.98333555888454
0.00025,142.79929619446693,10.123364408945655,100000.0,103085.34580347672,57.98366217334413
0.0003333333333333334,142.80024399228716,10.164460799629374,100000.0,103054.15151282313,57.98411711629784
0.00041666666666666675,142.80145648799333,10.205544795319543,100000.0,103023.17251528951,57.9846991142368
0.0005,142.80293104676417,10.246616481437334,100000.0,102992.4066973265,57.9854069024468
0.0005833333333333334,142.80466505192086,10.287675942564155,100000.0,102961.85196013337,57.98623922492201
0.0006666666666666668,142.8066559047482,10.328723262447504,100000.0,102931.5062195145,57.98719483427913
0.0007500000000000001,142.80890102431738,10.369758524006713,100000.0,102901.36740573723,57.98827249167234
0.0008333333333333335,142.81139784730985,10.410781809338703,100000.0,102871.4334633906,57.98947096670872
0.0009166666666666668,142.81414382784237,10.451793199723728,100000.0,102841.70235124485,57.99078903736434
0.001,142.8171364372932,10.492792775630921,100000.0,102812.17204211214,57.992225489900726
0.0010833333333333335,142.82037316412973,10.53378061672392,100000.0,102782.84052270827,57.99377911878227
0.0011666666666666668,142.82385151373708,10.57475680186632,100000.0,102753.70579351518,57.9954487265938
0.0012500000000000002,142.82756900824788,10.61572140912723,100000.0,102724.76586864448,57.99723312395898
0.0013333333333333335,142.83152318637332,10.656674515786596,100000.0,102696.01877570192,57.99913112945919
0.0014166666666666668,142.83571160323527,10.697616198340576,100000.0,102667.46255565294,58.00114156955293
0.0015000000000000002,142.84013183019962,10.738546532506899,100000.0,102639.0952626889,58.003263278495815
0.0015833333333333335,142.84478145471053,10.779465593230025,100000.0,102610.91496409429,58.00549509826105
0.001666666666666667,142.8496580801261,10.82037345468636,100000.0,102582.91974011506,58.00783587846052
0.0017500000000000003,142.85475932555494,10.861270190289462,100000.0,102555.10768382752,58.01028447626637
0.0018333333333333335,142.86008282569375,10.902155872695078,100000.0,102527.47690100833,58.012839756333
0.001916666666666667,142.86562623066644,10.943030573806157,100000.0,102500.02551000548,58.01550059071989
0.002,142.87138720586358,10.983894364777898,100000.0,102472.75164160975,58.018265858814516
