x_m,equilibrium_quality,homogeneous_void_fraction,flow_pattern_diagnostic,boiling_htc_W_m2K,AlN_top_temperature_C,heat_to_R134a_W_per_m,mixture_density_kg_m3,friction_gradient_Pa_m
0.0,0.0,0.0,saturated liquid / ONB entrance,13212.768688902535,66.77058528222466,99978.51011906216,1260.9576879668566,7736.633829276121
8.333333333333334e-05,0.0008735980021633249,0.05169344030865447,bubbly,13216.786702589023,66.76450258340637,99978.5130387576,1196.8199865413947,8267.312580001162
0.0001666666666666667,0.0017471960298040925,0.0983827162254781,bubbly,13220.796302189361,66.7584363076143,99978.51595056997,1138.8911116078589,8867.022173612388
0.00025,0.0026207940828982877,0.14076091991186318,bubbly,13224.811624176764,66.75236506016958,99978.51886476876,1086.3111215983774,9527.977955327828
0.0003333333333333334,0.0034943921614699423,0.1793987980767012,bubbly,13228.833680326943,66.74628732504567,99978.5217820816,1038.3718728532156,10240.064840160412
0.00041666666666666675,0.00436799026554673,0.21477060670372994,bubbly,13232.862627184008,66.74020288109746,99978.5247026147,994.4849408352835,10993.942058240038
0.0005,0.00524158839515663,0.2472736751359731,bubbly,13236.898424423613,66.734111804793,99978.52762633133,954.1573463460935,11781.772747053725
0.0005833333333333334,0.006115186550327126,0.27724339557981925,confined bubble / slug,13240.940977677234,66.72801425394573,99978.53055315574,916.9729575695903,12596.792861145117
0.0006666666666666668,0.006988784731085007,0.3049648391486792,confined bubble / slug,13244.990180780778,66.72191040379826,99978.53348300382,882.5780776760063,13432.644021573436
0.0007500000000000001,0.007862382937456336,0.3306818521728469,confined bubble / slug,13249.045929962096,66.71580042560025,99978.53641579335,850.6701587398653,14282.855435612575
0.0008333333333333335,0.008735981169466476,0.3546042481988942,confined bubble / slug,13253.108128613792,66.70968447943505,99978.53935144751,820.9888783967692,15140.580997265215
0.0009166666666666668,0.009609579427140151,0.37691354510872294,confined bubble / slug,13257.176688572725,66.70356271232747,99978.54228989572,793.309021616662,15998.601355417039
0.001,0.010483177710501496,0.3977675795209069,confined bubble / slug,13261.251530051122,66.69743525838567,99978.5452310736,767.4347554687957,16849.56478101664
0.0010833333333333335,0.011356776019574103,0.417304246704966,confined bubble / slug,13265.332581064253,66.69130223969923,99978.54817492257,743.1949888907136,17686.408249951157
0.0011666666666666668,0.01223037435438108,0.43564455343594133,confined bubble / slug,13269.419776703511,66.68516376746598,99978.55112138926,720.4395849141331,18502.86310346184
0.0012500000000000002,0.013103972714945088,0.4528951266708448,confined bubble / slug,13273.513058400496,66.6790199431287,99978.55407042493,699.0362480699984,19293.924501324418
0.0013333333333333335,0.01397757110128838,0.4691502879497071,confined bubble / slug,13277.612373240407,66.67287085943356,99978.5570219851,678.8679506128865,20056.170973348635
0.0014166666666666668,0.014851169513432834,0.4844937787683738,confined bubble / slug,13281.717673344318,66.6667166013818,99978.55997602898,659.830791795906,20787.865234499546
0.0015000000000000002,0.01572476795139999,0.49900020356752756,confined bubble / slug,13285.828915323345,66.66055724707022,99978.56293251904,641.8322075081568,21488.83344703458
0.0015833333333333335,0.01659836641521107,0.5127362428253923,confined bubble / slug,13289.946059800215,66.65439286842783,99978.56589142079,624.789465151892,22160.17854406967
0.001666666666666667,0.017471964904887012,0.5257616778802743,confined bubble / slug,13294.069070991482,66.64822353185916,99978.56885270234,608.6283921124779,22803.912138200983
0.0017500000000000003,0.01834556342044848,0.5381302607125314,confined bubble / slug,13298.197916342811,66.6420492988059,99978.57181633421,593.2822965921417,23422.585446981684
0.0018333333333333335,0.01921916196191589,0.5498904553775463,confined bubble / slug,13302.332566210363,66.6358702262377,99978.57478228904,578.6910476904168,24018.974509294923
0.001916666666666667,0.020092760529309427,0.5610860726556985,confined bubble / slug,13306.472993581829,66.62968636708212,99978.57775054144,564.8002879736631,24595.844843969782
0.002,0.020966359122649065,0.5717568154410899,confined bubble / slug,13310.619173831563,66.62349777060192,99978.58072106774,551.5607567938674,25155.796815766
0.0020833333333333337,0.021839957741954578,0.581938749180208,confined bubble / slug,13314.77108450506,66.61730448272745,99978.58369384593,538.9277066003777,25701.17918078905
0.002166666666666667,0.022713556387245554,0.5916647091081418,confined bubble / slug,13318.928705128652,66.61110654635023,99978.5866688554,526.8603976689313,26234.053300030908
0.0022500000000000003,0.0235871550585414,0.600964653971694,churn / transitional,13323.092017040968,66.60490400158298,99978.58964607687,515.3216592260983,26756.19112228999
0.0023333333333333335,0.024460753755861372,0.6098659742674749,churn / transitional,13327.261003243191,66.59869688599089,99978.59262549237,504.27750700844007,27269.093241431045
0.002416666666666667,0.025334352479224564,0.6183937616755057,churn / transitional,13331.435648265659,66.59248523479764,99978.59560708494,493.6968089676381,27774.017128726817
0.0025000000000000005,0.026207951228649926,0.6265710452705433,churn / transitional,13335.615938048579,66.58626908106964,99978.59859083872,483.5509921955623,28272.00901007731
0.0025833333333333337,0.027081550004156286,0.6344189991940762,churn / transitional,13339.801859835186,66.58004845588151,99978.60157673882,473.81378525899737,28763.93544659901
0.002666666666666667,0.027955148805762324,0.641957125730429,churn / transitional,13343.993402075668,66.57382338846429,99978.60456477117,464.4609910512766,29250.51248611061
0.0027500000000000003,0.028828747633486623,0.6492034171197419,churn / transitional,13348.190554340592,66.56759390633984,99978.6075549226,455.4702860257524,29732.331426040117
0.0028333333333333335,0.029702346487347646,0.6561744989342864,churn / transitional,13352.393307242703,66.56136003544165,99978.61054718062,446.8210423042261,30209.88093698084
0.0029166666666666672,0.030575945367363747,0.6628857574231873,churn / transitional,13356.601652366066,66.55512180022478,99978.61354153353,438.4941696762855,30683.565690553358
0.0030000000000000005,0.031449544273553176,0.6693514528786259,churn / transitional,13360.815582201774,66.54887922376547,99978.61653797023,430.4719749422381,31153.721829376962
0.0030833333333333338,0.03232314320593411,0.6755848207815035,churn / transitional,13365.035090089426,66.54263232785193,99978.61953648027,422.738036418458,31620.629690496433
0.003166666666666667,0.03319674216452461,0.6815981622363368,churn / transitional,13369.260170163754,66.53638113306722,99978.62253705377,415.27709173192517,32084.524199048064
0.0032500000000000003,0.03407034114934267,0.6874029249956811,churn / transitional,13373.490817305883,66.53012565886493,99978.62553968138,408.0749372906366,32545.60331924561
0.003333333333333334,0.03494394016040619,0.6930097761970466,churn / transitional,13377.727027098668,66.52386592363852,99978.62854435429,401.1183380365923,33004.03490469128
